table,external_post_id,natural_key,production_key_status
source_posts,1616,"[""legendstudy"", ""1616""]",UNVERIFIED
content_items,1616,"[""legendstudy"", ""1616"", ""main""]",UNVERIFIED
exams,1616,"[""legendstudy"", ""1616"", ""main""]",UNVERIFIED
exam_subjects,1616,"[""legendstudy"", ""1616"", ""main"", ""국어""]",UNVERIFIED
exam_subjects,1616,"[""legendstudy"", ""1616"", ""main"", ""수학""]",UNVERIFIED
exam_subjects,1616,"[""legendstudy"", ""1616"", ""main"", ""영어""]",UNVERIFIED
exam_subjects,1616,"[""legendstudy"", ""1616"", ""main"", ""한국사""]",UNVERIFIED
exam_subjects,1616,"[""legendstudy"", ""1616"", ""main"", ""과학""]",UNVERIFIED
exam_subjects,1616,"[""legendstudy"", ""1616"", ""main"", ""사회""]",UNVERIFIED
resources,1616,"[""legendstudy"", ""1616"", ""main"", ""legendstudy"", ""1616"", ""5jrOG/btsGcqQQbRc""]",UNVERIFIED
resources,1616,"[""legendstudy"", ""1616"", ""main"", ""legendstudy"", ""1616"", ""zgHhr/btsF9eY9wEu""]",UNVERIFIED
resources,1616,"[""legendstudy"", ""1616"", ""main"", ""legendstudy"", ""1616"", ""BfRe8/btsF9NfIY4e""]",UNVERIFIED
resources,1616,"[""legendstudy"", ""1616"", ""main"", ""legendstudy"", ""1616"", ""mEo0I/btsGaZ0P276""]",UNVERIFIED
resources,1616,"[""legendstudy"", ""1616"", ""main"", ""legendstudy"", ""1616"", ""bp0pfA/btsGax4zuvI""]",UNVERIFIED
resources,1616,"[""legendstudy"", ""1616"", ""main"", ""legendstudy"", ""1616"", ""bWEicy/btsF9dTuDEe""]",UNVERIFIED
resources,1616,"[""legendstudy"", ""1616"", ""main"", ""legendstudy"", ""1616"", ""ckMcwE/btsGaEvMseY""]",UNVERIFIED
resources,1616,"[""legendstudy"", ""1616"", ""main"", ""legendstudy"", ""1616"", ""FtUk3/btsGaYnlpPM""]",UNVERIFIED
resources,1616,"[""legendstudy"", ""1616"", ""main"", ""legendstudy"", ""1616"", ""cJbN2D/btsGbcy5Kk9""]",UNVERIFIED
resources,1616,"[""legendstudy"", ""1616"", ""main"", ""legendstudy"", ""1616"", ""bwF2ke/btsGadZtNqG""]",UNVERIFIED
resources,1616,"[""legendstudy"", ""1616"", ""main"", ""legendstudy"", ""1616"", ""bfj3bq/btsGabtSVtJ""]",UNVERIFIED
resources,1616,"[""legendstudy"", ""1616"", ""main"", ""legendstudy"", ""1616"", ""0vqYq/btsF9zWlMnK""]",UNVERIFIED
resources,1616,"[""legendstudy"", ""1616"", ""main"", ""legendstudy"", ""1616"", ""H0TJF/btsGawLnfW1""]",UNVERIFIED
source_posts,1620,"[""legendstudy"", ""1620""]",UNVERIFIED
content_items,1620,"[""legendstudy"", ""1620"", ""main""]",UNVERIFIED
exams,1620,"[""legendstudy"", ""1620"", ""main""]",UNVERIFIED
exam_subjects,1620,"[""legendstudy"", ""1620"", ""main"", ""국어""]",UNVERIFIED
exam_subjects,1620,"[""legendstudy"", ""1620"", ""main"", ""수학""]",UNVERIFIED
exam_subjects,1620,"[""legendstudy"", ""1620"", ""main"", ""영어""]",UNVERIFIED
exam_subjects,1620,"[""legendstudy"", ""1620"", ""main"", ""한국사""]",UNVERIFIED
exam_subjects,1620,"[""legendstudy"", ""1620"", ""main"", ""과학""]",UNVERIFIED
