year,grade,exam_family,month,external_post_id,source_content_key,source_subject_key,raw_subject_label,canonical_code,mapping_status,source_resource_key,resource_type,source_label,post_url,source_url,file_url,link_kind,link_status,published_at,source_updated_at,feed_updated_at,is_active
2024,3,national_mock,3,1614,main,국어,국어,korean,provisional,rWdDN/btsF9EpIVCS,question,2024_3월_국어 문제.pdf,https://legendstudy.com/1614,https://blog.kakaocdn.net/dna/rWdDN/btsF9EpIVCS/x/2024_3월_국어 문제.pdf,,unknown,unchecked,2024-03-28,2024-03-28,2024-03-28,False
2024,3,national_mock,3,1614,main,국어,국어,korean,provisional,mXkyj/btsGcM0oYxN,answer_explanation,"2024_3월_국어 정답,해설.pdf",https://legendstudy.com/1614,"https://blog.kakaocdn.net/dna/mXkyj/btsGcM0oYxN/x/2024_3월_국어 정답,해설.pdf",,unknown,unchecked,2024-03-28,2024-03-28,2024-03-28,False
2024,3,national_mock,3,1614,main,수학,수학,math,provisional,D2DR1/btsGbWJdiND,question,2024_3월_수학 문제.pdf,https://legendstudy.com/1614,https://blog.kakaocdn.net/dna/D2DR1/btsGbWJdiND/x/2024_3월_수학 문제.pdf,,unknown,unchecked,2024-03-28,2024-03-28,2024-03-28,False
2024,3,national_mock,3,1614,main,수학,수학,math,provisional,6jgH2/btsGcqDgS2e,answer_explanation,"2024_3월_수학 정답,해설.pdf",https://legendstudy.com/1614,"https://blog.kakaocdn.net/dna/6jgH2/btsGcqDgS2e/x/2024_3월_수학 정답,해설.pdf",,unknown,unchecked,2024-03-28,2024-03-28,2024-03-28,False
2024,3,national_mock,3,1614,main,영어,영어,english,provisional,b4emNO/btsGbaVu4sT,question,2024_3월_영어 문제.pdf,https://legendstudy.com/1614,https://blog.kakaocdn.net/dna/b4emNO/btsGbaVu4sT/x/2024_3월_영어 문제.pdf,,unknown,unchecked,2024-03-28,2024-03-28,2024-03-28,False
2024,3,national_mock,3,1614,main,영어,영어,english,provisional,brAhew/btsF9CSV4zW,answer_explanation,"2024_3월_영어 정답,해설.pdf",https://legendstudy.com/1614,"https://blog.kakaocdn.net/dna/brAhew/btsF9CSV4zW/x/2024_3월_영어 정답,해설.pdf",,unknown,unchecked,2024-03-28,2024-03-28,2024-03-28,False
2024,3,national_mock,3,1614,main,한국사,한국사,korean_history,provisional,bzu9kd/btsGbHFv0f3,question,2024_3월_한국사 문제.pdf,https://legendstudy.com/1614,https://blog.kakaocdn.net/dna/bzu9kd/btsGbHFv0f3/x/2024_3월_한국사 문제.pdf,,unknown,unchecked,2024-03-28,2024-03-28,2024-03-28,False
2024,3,national_mock,3,1614,main,한국사,한국사,korean_history,provisional,csC1Zg/btsGcpRTEBk,answer_explanation,"2024_3월_한국사 정답,해설.pdf",https://legendstudy.com/1614,"https://blog.kakaocdn.net/dna/csC1Zg/btsGcpRTEBk/x/2024_3월_한국사 정답,해설.pdf",,unknown,unchecked,2024-03-28,2024-03-28,2024-03-28,False
2024,3,national_mock,3,1614,main,물리학1,물리학1,physics_1,provisional,dxzOep/btsGadFa4Y1,question,2024_3월_과_물리학1 문제.pdf,https://legendstudy.com/1614,https://blog.kakaocdn.net/dna/dxzOep/btsGadFa4Y1/x/2024_3월_과_물리학1 문제.pdf,,unknown,unchecked,2024-03-28,2024-03-28,2024-03-28,False
2024,3,national_mock,3,1614,main,물리학1,물리학1,physics_1,provisional,O9J42/btsGbH6CCTx,answer_explanation,"2024_3월_과_물리학1 정답,해설.pdf",https://legendstudy.com/1614,"https://blog.kakaocdn.net/dna/O9J42/btsGbH6CCTx/x/2024_3월_과_물리학1 정답,해설.pdf",,unknown,unchecked,2024-03-28,2024-03-28,2024-03-28,False
2024,3,national_mock,3,1614,main,생명과학1,생명과학1,life_science_1,provisional,9OfAh/btsF89jfYEx,question,2024_3월_과_생명과학1 문제.pdf,https://legendstudy.com/1614,https://blog.kakaocdn.net/dna/9OfAh/btsF89jfYEx/x/2024_3월_과_생명과학1 문제.pdf,,unknown,unchecked,2024-03-28,2024-03-28,2024-03-28,False
2024,3,national_mock,3,1614,main,생명과학1,생명과학1,life_science_1,provisional,cNKQdI/btsGaXBZy08,answer_explanation,"2024_3월_과_생명과학1 정답,해설.pdf",https://legendstudy.com/1614,"https://blog.kakaocdn.net/dna/cNKQdI/btsGaXBZy08/x/2024_3월_과_생명과학1 정답,해설.pdf",,unknown,unchecked,2024-03-28,2024-03-28,2024-03-28,False
2024,3,national_mock,3,1614,main,지구과학1,지구과학1,earth_science_1,provisional,buYMT3/btsGaX2YnaN,question,2024_3월_과_지구과학1 문제.pdf,https://legendstudy.com/1614,https://blog.kakaocdn.net/dna/buYMT3/btsGaX2YnaN/x/2024_3월_과_지구과학1 문제.pdf,,unknown,unchecked,2024-03-28,2024-03-28,2024-03-28,False
2024,3,national_mock,3,1614,main,지구과학1,지구과학1,earth_science_1,provisional,BAi9M/btsGbTThNvM,answer_explanation,"2024_3월_과_지구과학1 정답,해설.pdf",https://legendstudy.com/1614,"https://blog.kakaocdn.net/dna/BAi9M/btsGbTThNvM/x/2024_3월_과_지구과학1 정답,해설.pdf",,unknown,unchecked,2024-03-28,2024-03-28,2024-03-28,False
2024,3,national_mock,3,1614,main,화학1,화학1,chemistry_1,provisional,bmfTQQ/btsGcs8WSX0,question,2024_3월_과_화학1 문제.pdf,https://legendstudy.com/1614,https://blog.kakaocdn.net/dna/bmfTQQ/btsGcs8WSX0/x/2024_3월_과_화학1 문제.pdf,,unknown,unchecked,2024-03-28,2024-03-28,2024-03-28,False
2024,3,national_mock,3,1614,main,화학1,화학1,chemistry_1,provisional,tekAh/btsGaD4Fa3L,answer_explanation,"2024_3월_과_화학1 정답,해설.pdf",https://legendstudy.com/1614,"https://blog.kakaocdn.net/dna/tekAh/btsGaD4Fa3L/x/2024_3월_과_화학1 정답,해설.pdf",,unknown,unchecked,2024-03-28,2024-03-28,2024-03-28,False
2024,3,national_mock,3,1614,main,경제,경제,economics,provisional,L4Iaq/btsGbSNCrj6,question,2024_3월_사_경제 문제.pdf,https://legendstudy.com/1614,https://blog.kakaocdn.net/dna/L4Iaq/btsGbSNCrj6/x/2024_3월_사_경제 문제.pdf,,unknown,unchecked,2024-03-28,2024-03-28,2024-03-28,False
2024,3,national_mock,3,1614,main,경제,경제,economics,provisional,TeF1O/btsGbTlryX9,answer_explanation,"2024_3월_사_경제 정답,해설.pdf",https://legendstudy.com/1614,"https://blog.kakaocdn.net/dna/TeF1O/btsGbTlryX9/x/2024_3월_사_경제 정답,해설.pdf",,unknown,unchecked,2024-03-28,2024-03-28,2024-03-28,False
2024,3,national_mock,3,1614,main,동아시아사,동아시아사,east_asian_history,provisional,urip2/btsGbFt9RCm,question,2024_3월_사_동아시아사 문제.pdf,https://legendstudy.com/1614,https://blog.kakaocdn.net/dna/urip2/btsGbFt9RCm/x/2024_3월_사_동아시아사 문제.pdf,,unknown,unchecked,2024-03-28,2024-03-28,2024-03-28,False
